iter	Passed	Remaining
0	1	103
1	1	97
2	2	92
3	3	85
4	4	86
5	5	85
6	6	84
7	7	82
8	8	80
9	8	79
10	9	78
11	10	77
12	12	80
13	13	81
14	14	80
15	15	79
16	15	77
17	16	76
18	17	74
19	18	72
20	19	71
21	20	71
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	64
29	27	64
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	51
43	40	50
44	41	50
45	42	49
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	67	27
71	68	26
72	69	25
73	69	24
74	71	23
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	81	15
84	82	14
85	83	13
86	84	12
87	84	11
88	86	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
